Season,Player,Date,Home/Away,Opp,Win/Loss,FG%,FT,FTA,FT%,TS%,eFG%,DRtg,,
2018-19,Aaron Gordon,2/28/19,Home,GSW,W,0.6,2,2,1,0.693,0.667,93,,
2018-19,Aaron Gordon,3/2/19,Away,IND,W,0.333,0,0,,0.367,0.367,120,,
2018-19,Aaron Gordon,3/3/19,Away,CLE,L,0.438,0,0,,0.469,0.469,117,,
2018-19,Aaron Gordon,3/5/19,Away,PHI,L,0.5,4,6,0.667,0.581,0.556,118,,
2018-19,Aaron Gordon,3/8/19,Home,DAL,W,0.467,3,5,0.6,0.523,0.5,108,,
2018-19,Aaron Gordon,3/10/19,Away,MEM,L,0.294,2,2,1,0.364,0.324,114,,
2018-19,Aaron Gordon,3/13/19,Away,WAS,L,0.308,2,2,1,0.468,0.423,106,,
2018-19,Aaron Gordon,3/14/19,Home,CLE,W,0.438,4,4,1,0.591,0.531,92,,
2018-19,Aaron Gordon,3/17/19,Home,ATL,W,0.563,1,2,0.5,0.652,0.656,92,,
2018-19,Aaron Gordon,3/20/19,Home,NOP,W,0.467,2,2,1,0.63,0.6,92,,
2018-19,Aaron Gordon,3/22/19,Home,MEM,W,0.25,1,2,0.5,0.282,0.25,119,,
2018-19,Aaron Gordon,3/25/19,Home,PHI,W,0.417,0,0,,0.5,0.5,105,,
2018-19,Aaron Gordon,3/26/19,Away,MIA,W,0.353,1,2,0.5,0.391,0.382,103,,
2018-19,Aaron Gordon,3/28/19,Away,DET,L,0.583,5,5,1,0.704,0.625,125,,
2018-19,Aaron Gordon,3/30/19,Away,IND,W,0.6,1,1,1,0.745,0.733,117,,
2018-19,Aaron Gordon,4/1/19,Away,TOR,L,0.429,0,0,,0.429,0.429,119,,
2018-19,Aaron Gordon,4/3/19,Home,NYK,W,0.5,2,6,0.333,0.571,0.607,104,,
2018-19,Aaron Gordon,4/5/19,Home,ATL,W,0.667,0,0,,0.833,0.833,97,,
2018-19,Aaron Gordon,4/7/19,Away,BOS,W,0.462,2,2,1,0.504,0.462,109,,
2018-19,Aaron Gordon,4/10/19,Away,CHO,W,0.611,4,4,1,0.683,0.639,127,,
2018-19,Aaron Gordon,4/13/19,Away,TOR,W,0.3,2,2,1,0.46,0.4,98,,
2018-19,Aaron Gordon,4/16/19,Away,TOR,L,0.667,1,5,0.2,0.704,0.792,120,,
2018-19,Aaron Gordon,4/19/19,Home,TOR,L,0.4,1,2,0.5,0.46,0.45,105,,
2018-19,Aaron Gordon,4/21/19,Home,TOR,L,0.588,3,3,1,0.682,0.647,117,,
2018-19,Aaron Gordon,4/23/19,Away,TOR,L,0.308,3,7,0.429,0.342,0.308,117,,
2019-20,CJ McCollum,10/23/19,Home,DEN,L,0.278,0,0,,0.333,0.333,115,,
2019-20,CJ McCollum,10/25/19,Away,SAC,W,0.444,2,2,1,0.503,0.472,115,,
2019-20,CJ McCollum,10/27/19,Away,DAL,W,0.5,8,8,1,0.593,0.519,111,,
2019-20,CJ McCollum,10/28/19,Away,SAS,L,0.455,4,5,0.8,0.558,0.523,108,,
2019-20,CJ McCollum,10/30/19,Away,OKC,W,0.318,3,4,0.75,0.463,0.432,99,,
2019-20,CJ McCollum,11/2/19,Home,PHI,L,0.4,4,4,1,0.477,0.4,129,,
2019-20,CJ McCollum,11/4/19,Away,GSW,L,0.375,0,0,,0.438,0.438,134,,
2019-20,CJ McCollum,11/7/19,Away,LAC,L,0.391,3,3,1,0.452,0.413,108,,
2019-20,CJ McCollum,11/8/19,Home,BRK,L,0.211,0,0,,0.211,0.211,120,,
2019-20,CJ McCollum,11/10/19,Home,ATL,W,0.478,0,1,0,0.491,0.5,97,,
2019-20,CJ McCollum,11/12/19,Away,SAC,L,0.524,1,4,0.25,0.527,0.548,112,,
2019-20,CJ McCollum,11/13/19,Home,TOR,L,0.444,0,1,0,0.515,0.528,116,,
2019-20,CJ McCollum,11/16/19,Away,SAS,W,0.52,0,0,,0.64,0.64,112,,
2019-20,CJ McCollum,11/18/19,Away,HOU,L,0.526,0,0,,0.658,0.658,121,,
2019-20,CJ McCollum,11/19/19,Away,NOP,L,0.409,0,1,0,0.49,0.5,114,,
2019-20,CJ McCollum,11/21/19,Away,MIL,L,0.517,2,2,1,0.619,0.603,130,,
2019-20,CJ McCollum,11/23/19,Away,CLE,L,0.421,2,2,1,0.503,0.474,107,,
2019-20,CJ McCollum,11/25/19,Away,CHI,W,0.5,3,3,1,0.606,0.563,98,,
2019-20,CJ McCollum,11/27/19,Home,OKC,W,0.5,2,2,1,0.652,0.625,122,,
2019-20,CJ McCollum,11/29/19,Home,CHI,W,0.5,3,3,1,0.653,0.607,107,,
2019-20,CJ McCollum,12/3/19,Away,LAC,L,0.529,0,0,,0.588,0.588,121,,
2019-20,CJ McCollum,12/4/19,Home,SAC,W,0.636,0,0,,0.75,0.75,115,,
2019-20,CJ McCollum,12/6/19,Home,LAL,L,0.385,2,2,1,0.54,0.5,127,,
2019-20,CJ McCollum,12/8/19,Home,OKC,L,0.381,2,4,0.5,0.439,0.429,117,,
2019-20,CJ McCollum,12/10/19,Home,NYK,W,0.357,2,2,1,0.437,0.393,92,,
2019-20,CJ McCollum,12/12/19,Away,DEN,L,0.545,0,1,0,0.656,0.682,135,,
2019-20,CJ McCollum,12/16/19,Away,PHO,W,0.55,5,5,1,0.676,0.625,110,,
